Original Description,Synthesized Descritpion,Permission,Semantic Rating,Syntax rating,Length rating
create events today,write calendar event,CALENDAR,,,
"view and rsvp to public events, and add events to your phone calendars",get event add calendar to calendar,CALENDAR,,,
download this vital hr management application today constant updates will be provided to improve stability and improve the overall experience,access phone calendar,CALENDAR,,,
schedule service with your participating dealer,write calendar to schedule appointment,CALENDAR,,,
football game will be added to your calendar and update,access calendar to write calendar event,CALENDAR,,,
This app provides class schedules,app uses calendar you can add to calendar,CALENDAR,,,
download the app to stay updated on the latest news & announcements,access location and gps,CALENDAR,,,
"you can view all schedules in calendar, or create a schedule.",app uses read calendar to read calendar and write calendar,CALENDAR,,,
"access events, calendars, contacts, maps and more!",app uses read calendar to read calendar,CALENDAR,,,
Download the app today to plan and schedule your classes,write classes schedule to calendar,CALENDAR,,,
"read,  add  or  modify  calendar  events, also backup and restore calendar",app access calendar to read calendar and write calendar set backup files,CALENDAR,,,
add your ticket bookings to your device's calendar to get notifications and integrate with your existing schedule,write calendar data set notification alarm,CALENDAR,,,
"schedule management, display schedule on calendar",app uses read calendar to read calendar,CALENDAR,,,
manage room bookings via calendar,app uses read calendar to read calendar,CALENDAR,,,
Set reminders for live broadcasts so you don’t miss a program you love,add to calendar set up reminder,CALENDAR,,,
the event calendar is also easily accessible from the app,access calendar read event notification,CALENDAR,,,
import your appointments to calendar and mark them as mute events,setup appointments to write to calendar,CALENDAR,,,
"set training calendars, reminders",access calendar,CALENDAR,,,
notification academic calendar events and institutional notices,access calendar read calendar notifications,CALENDAR,,,
check out what’s on to plan your calendar and buy tickets to events,write event to calendar of your device,CALENDAR,,,
find incidents near your calendar events,get location and gps data read calendar,CALENDAR,,,
access to calendar to link up group member calendar,this app uses calendar permission to read calendar,CALENDAR,,,
calendar navigation giving easy access to previous scores and upcoming fixtures,the app read your calendar information,CALENDAR,,,
show calendar events in agenda and select which calendars to show,the app can read calendar,CALENDAR,,,
access event and calendar information and add them directly to your device or share them with a friend,this app write to your calendar in your device,CALENDAR,,,
show the school calendar for better time and activity management,access to your calendar,CALENDAR,,,
display calendar and schedule of matches,this app uses calendar permission to read calendar,CALENDAR,,,
you can add priority events to the personal calendar on your device,add events to device calendar,CALENDAR,,,
the calendar module displays all events occurring in the current week,this app uses read calendar permission,CALENDAR,,,
calendar  sync,access calendar information,CALENDAR,,,
make use and manage your calendar,the app you can use your calendar,CALENDAR,,,
"you  can  set  the  moving  target,  to  encourage  yourself  to  complete  the  amount  of  exercise  every  day ",set up calendar on device,CALENDAR,,,
one  tap  to  create  and  sync  a  customer  meeting  with  your  calendar,the app uses calendar permission to write to calendar,CALENDAR,,,
"view, edit and update your schedules in calendar ",this app uses calendar permission read calendar and write calendar,CALENDAR,,,
